"薬品名","棚番1","棚番2","棚番3","棚番4","棚番5","棚番6","棚番7"
"ナノパスニードル2ナノパス34G","","","","","","",""
"ペンニードル　プラス 32G 4mm","","","","","","",""
"BDﾏｲｸﾛﾌｧｲﾝﾌﾟﾗｽ31G×5mm Thin Wall","","","","","","",""
"BDﾏｲｸﾛﾌｧｲﾝﾌﾟﾗｽ32G×4mm Thin Wall","","","","","","",""
"B-Dﾏｲｸﾛﾌｧｲﾝﾌﾟﾛ 32G 4mm","","","","","","",""
"ｱｲｿｶﾙｾﾞﾘｰﾊｲｶﾛﾘｰﾊﾞﾗｴﾃｨｰﾊﾟｯｸ66×8種×3ｶｯﾌﾟ","","","","","","",""
"アキュチェックガイドストリップ 30枚","","","","","","",""
"アキュチェック ピコ 1.4㎜ 30本","","","","","","",""
"アリナミンＥＸ ＰＬＵＳ 60錠","","","","","","",""
"医療用不織布ガーゼ4号 200枚","","","","","","",""
"エコガーゼ（300枚入）","","","","","","",""
"エスパタイ 7.5㎝","","","","","","",""
"ｴﾝｼﾞｮｲｸﾘﾐｰﾙ(いろいろｾｯﾄ24ﾊﾟｯｸ入り)","","","","","","",""
"ｴﾝｼﾞｮｲﾊｲｶﾛﾘｰｸﾘﾐｰﾙ300 ｺｰﾋｰ味 24ﾊﾟｯｸ","","","","","","",""
"オキュソフト30包入り","","","","","","",""
"折りたたみｶﾞｰｾﾞ(未滅菌)5㎝×5㎝ 100枚","","","","","","",""
"紙バン","","","","","","",""
"ｷｽﾞあてﾊﾟｯﾄﾞ Lｻｲｽﾞ(80×100mm)","","","","","","",""
"さくら清浄綿","","","","","","",""
"自費薬（30錠分）","","","","","","",""
"スキナゲートSG25","","","","","","",""
"ｽﾜﾌﾞｽﾃｨｯｸﾎﾟﾋﾞﾄﾞﾝﾖｰﾄﾞMｻｲｽﾞ60包","","","","","","",""
"セイロガン糖衣Ａ 84錠","","","","","","",""
